"pos_05_Brarut_1.A.6_01_7401"	"pos_10_Brarut_1.B.3_01_7408"	"pos_15_Calcus_1.B.8_01_7415"	"pos_17_Calcus_1.C.2_01_7417"	"pos_01_Fistax_1.A.2_01_7396"	"pos_02_Fistax_1.A.3_01_7398"	"pos_04_Gripul_1.A.5_01_7400"	"pos_23_Gripul_1.C.8_01_7425"	"pos_09_Hypcup_1.B.2_01_7407"	"pos_21_Hypcup_1.C.6_01_7421"	"pos_25_Marpol_1.D.2_01_7427"	"pos_26_Marpol_1.D.3_01_7428"	"pos_12_Plaund_1.B.5_01_7410"	"pos_13_Plaund_1.B.6_01_7411"	"pos_06_Polstr_1.A.7_01_7402"	"pos_07_Polstr_1.A.8_01_7403"
8.082287	7.855063	7.456546	7.462356	7.132013	8.199771	8.230466	8.389369	8.021008	8.047591	7.555646	8.06421	7.952624	7.585602	7.381727	8.138812
8.43633	8.233471	8.452401	8.588699	0	8.459235	7.574797	0	0	0	7.056355	6.46694	7.968854	7.878649	7.812884	8.13842
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	7.366587	0	0	0	7.550437	0	0	7.840012	0	0	0	6.813691	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.516481	10.644876
7.376098	7.733537	7.659722	7.31226	7.480085	7.857028	7.697644	7.691894	7.914738	7.668642	7.180526	7.451827	8.168887	7.603666	7.503132	7.443538
6.890064	9.007258	6.74137	0	0	6.963243	0	8.132415	9.778362	9.282816	7.78988	7.872408	8.172597	7.712218	7.702889	7.458242
7.591151	7.613655	7.711722	7.276424	6.799719	7.196055	7.535096	7.4412	8.025785	7.494194	7.43201	7.655595	6.964062	7.387808	7.47991	7.265264
0	10.803556	10.880168	10.347752	0	0	8.705669	8.277649	0	0	7.835741	7.392672	7.485432	0	0	0
6.621527	8.725487	6.880442	6.99289	7.929987	7.408464	5.84861	6.780254	0	7.664305	7.375466	8.074917	6.359435	5.99039	7.496116	7.4503
7.730203	8.566227	7.773582	8.61942	7.668221	7.920816	8.850198	8.616666	8.850182	8.575211	8.309655	8.223916	8.467973	8.140968	8.00476	7.846837
0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.611976	9.66328
6.054552	0	0	6.628966	0	8.754829	6.740088	6.086375	0	6.653059	0	0	0	5.7481	0	6.236179
0	0	0	0	0	6.831729	0	0	0	0	0	10.206982	0	0	8.914685	8.956987
7.328275	6.989593	7.322299	8.114418	7.280807	8.000913	7.659621	7.801066	6.795061	8.178054	8.996266	9.324916	7.556349	8.104486	7.503043	7.236058
